Hour,TPS
0,2004
1,1225
2,445
3,330
4,529
5,931
6,1451
7,2022
8,2596
9,3139
10,3632
11,4064
12,4431
13,4735
14,4980
15,5169
16,5303
17,5375
18,5372
19,5269
20,5028
21,4594
22,3893
23,2832
24,2130
25,983
26,433
27,322
28,515
29,908
30,1415
31,1971
32,2531
33,3061
34,3541
35,3962
36,4320
37,4617
38,4856
39,5040
40,5170
41,5241
42,5238
43,5138
44,4902
45,4479
46,3796
47,2761
48,2076
49,958
50,423
51,314
52,502
53,885
54,1379
55,1922
56,2468
57,2984
58,3453
59,3863
60,4212
61,4501
62,4734
63,4914
64,5041
65,5110
66,5107
67,5009
68,4780
69,4367
70,3701
71,2692
72,2024
73,934
74,412
75,306
76,490
77,863
78,1345
79,1874
80,2406
81,2910
82,3367
83,3766
84,4107
85,4389
86,4616
87,4791
88,4915
89,4982
90,4979
91,4884
92,4660
93,4258
94,3609
95,2624
96,1974
97,911
98,402
99,298
100,478
101,841
102,1311
103,1827
104,2346
105,2837
106,3282
107,3672
108,4004
109,4279
110,4500
111,4672
112,4792
113,4858
114,4855
115,4762
116,4544
117,4151
118,3518
119,2559
120,1480
121,683
122,301
123,224
124,358
125,631
126,983
127,1370
128,1759
129,2128
130,2462
131,2754
132,3003
133,3209
134,3375
135,3504
136,3594
137,3643
138,3641
139,3571
140,3408
141,3114
142,2639
143,1919
144,1579
145,729
146,321
147,238
148,382
149,673
150,1049
151,1462
152,1877
153,2270
154,2626
155,2938
156,3203
157,3423
158,3600
159,3737
160,3834
161,3886
162,3884
163,3810
164,3667
165,3443
166,3025
167,2410
